TimeStep,Sid,Quality,Illicit,Licit,Unknown,size
1,cf66311b32a9e6a1b5d2ade6a30017bd,2.7290769307355958,0,27,2,29
1,13f16c8b826cae1bf7ff31e0b8a9ea87,3.138901541868381,0,13,10,23
1,3bdc6f74ae35c63e1408475417baf411,2.965539591659945,0,6,13,19
1,2a7faf89212da3095272dbcf82c2f708,2.381386382670638,0,6,10,16
1,04c00a411eeb89c6282425d4593d00c1,2.5211752009572526,0,9,13,22
1,e9e3f2fb898717f37006c55af3a17c05,2.365705685285998,0,5,11,16
1,4dc142c9b5dc130c0d468fa339a47e9f,2.2541988510298165,0,9,6,15
1,db845da38b19908ed0c7645e3b54102a,2.890861334379497,0,10,6,16
1,106b634629b8a04cc11be3a8b2276851,13.44772494705288,0,249,46,295
1,8f5f956b04d0f0dad5f3ddd2ee51f2fd,1.7276584640464163,0,10,3,13
1,7c8dc0529f252b6e9f3159698779b4ab,1.439497903362788,0,3,12,15
1,009c6ef185ae0999b500a1ece5b25186,3.2870261504700062,0,6,8,14
1,3fbaaa60776a0bdfae36f5a8d7216d6f,1.2580939130450355,0,6,6,12
1,0f7949d8376cec169f23c305b4a6bef5,2.955473106828287,0,8,4,12
1,b739a690e4b11205383252c0e5426486,1.6680922173270325,0,4,10,14
1,e1f38672e345a120133d3f7cb0c46146,2.590971163333525,0,2,20,22
1,90034faadcb95ea3bc24e4ea6733d210,1.9142343067472127,0,1,14,15
1,773044ac92988b724b3254315e8493c9,2.614701757603566,0,8,7,15
1,0ad01253698606627b68f80714a63f59,2.410903513283188,0,1,11,12
1,598c9618fc02284d609717b9b97b33b4,2.563742548811742,0,7,9,16
1,4bba95c7982cac6a5a1f4e5a53c802b1,1.7314704773056229,0,1,12,13
1,8f58a704601e47428e3f972364fa001c,2.3376255306942713,0,6,10,16
1,fe150340d03e0a46b71c1d9275b71003,2.3978727855421207,0,9,3,12
1,66f10017f85194a7094bf3efba0ccd1e,1.7300287510042653,0,5,11,16
1,82952fea328745084cb5fa4015913f51,3.2588638631665745,0,8,7,15
1,1f0675c3d5227081169c3feb9275d3b9,3.0805302079071653,0,3,13,16
1,6e58aecb8c32cd94d0404d5d045e9288,3.14099250277003,0,9,13,22
1,632cd16398026ca15b35b5264cb0031f,2.2720913106769176,0,5,9,14
1,83eb3eaad344c6c8cf8a33fab62988fe,1.7904581672682016,0,4,16,20
1,a4488931c28772e30a9ee974aa48a19e,2.7478734645486327,0,5,14,19
1,8109e07a34b49c1d2b7b19ab30f14d30,2.338096730820136,0,15,5,20
1,7c7793bdb976f6eacce0520c56286f9a,2.8235384239559425,0,25,0,25
1,acc2ff8ae8619c8ffcc4d479a1950da8,2.404469382915496,0,7,17,24
1,1945768bd2c0f637905682249db6e77b,3.1312059657446403,0,12,10,22
1,5f9c2e7020ae66e36cc81bb9f0d22533,3.1177684832018917,0,7,21,28
1,d8aaf751ef3205f28d41660b9c961db7,3.122819406392059,0,29,0,29
1,19e0280a42c3b38fefbae29e3097e1b1,2.6634532697764115,0,6,21,27
1,53695bcfdbaff2e7cc453d1edcfa8967,2.3478266681972237,0,2,12,14
1,e13192906ff65838175dcd959e9b0dfb,2.3640477393799193,0,5,7,12
1,380163fa2216336289adbd096e1cb2fc,2.586154317963962,0,9,10,19
1,04edd60f6fcd59b4208ce29eac8e7a50,2.3921186297334103,0,2,15,17
1,51b0df404fc9d06a17209b92011bd4fb,2.451688948390609,0,5,7,12
1,6e9c2c64e802bd39a6a013b8d4a4bc1a,1.9236144330091283,0,8,4,12
1,9ca084c600691f5272a26428cfafcd47,2.2594580590176854,0,4,11,15
1,9d02082bbb72bd33c98092d968fae394,2.3488459421436936,0,1,15,16
1,b9944e718adf6781cfa93004b4139899,1.4565946723832002,0,0,13,13
1,6c2b287dbc4bedbe0fc5d16f651f3f92,3.028344457001872,0,6,13,19
1,c0d5f6e7bfe68b2f463cc58e828e1754,1.306977941994621,0,8,6,14
1,79fbb0d2df574349969d00ba4e5b1185,1.2581385400079101,0,0,12,12
1,f86ba96648c286ee21ced898cd7d6b04,3.039912724419742,0,6,8,14
1,b167fe9b02f52db847c10350d2f0f6b2,2.3034241858539386,0,4,12,16
1,e56f339ca08625c4cfec0751bf380e04,1.9659832112861322,0,3,13,16
1,c6e07de1588eec694bbc58ed1477d499,2.5536773235334733,0,17,1,18
1,9e73bc20d0473a3299d9e06be8033fd4,2.9632362705951754,0,25,0,25
1,b6ac112f5448aead4883d194875b900b,2.876292087861878,0,24,1,25
1,2049c6426959df8ff1201396b95a0771,2.845580404828114,0,27,1,28
1,12de17e7f605605cb49988650abcf03b,3.0059765585630736,0,7,9,16
1,2b1da409db6a83b9957f2e92e804e581,1.8004299101277617,0,4,25,29
1,2a822955a02b275574167963ce43a92c,2.478576255104696,0,2,18,20
1,c6422cc37883f564ec139d6bb88973d5,3.2526889707826214,0,7,9,16
1,db66711bc983aad0151067bee2cf2739,2.311054584924254,0,12,1,13
1,9b37bd2221ca70610fe9ee870d0d7b38,1.6294305569973258,0,0,14,14
1,5f8571f697c854bbe92e672871a6a0e6,2.18343520334603,0,7,6,13
1,0ff170fd268f9bf21228c9d8d7be943a,1.772726080264443,0,1,14,15
1,1ad9ebfbebc479cff5fc6edf232a54d3,2.0594027805351844,0,1,14,15
1,8615f1d513f3e10cb382ad05b67a4ccf,3.1282581796046514,0,7,29,36
1,d89aa18fa636ebbd399412cdd6e62978,2.622122585533057,0,19,1,20
1,01ef95f82931d2f4b73ad6ee05c257ba,3.9796026963333966,0,11,27,38
1,d0b9a2584680dc602ad8e28b1add7909,2.9683302164931433,0,7,9,16
1,c312763d2360cfd78c48cfac4ca2e2b0,4.491735968871137,0,8,15,23
1,46f3445e400423665cc1d02750a40aba,4.474054117620098,0,9,7,16
1,b05a3b88d2cadd716cc531408fcc31c0,3.3356153695410398,0,10,16,26
1,f17ba62d54538da3827ebe6e70ff4656,1.8221057834477448,0,4,10,14
1,f4cbaf7c8582a70bd0df0bb7718a4567,1.6483219827242903,0,4,13,17
1,d71a24fbdec1f7b8f9a636ccf1a23e01,1.7533508791978611,0,4,11,15
1,9be7b246856b16bf39bd2ba219f1a734,1.8099085243956998,0,4,10,14
1,f553286d49da1ed6e80cda27603f0c8b,1.823667471468829,0,4,11,15
1,6fb8f5c84f45b34d4d1457cc318e3654,1.8268876514850239,0,4,10,14
1,b3d8b0e260dcd90b42478fdca7a70dbf,1.8288817590577484,0,4,10,14
2,7816ce06408a8eed22f6d968471d1b98,3.3831489850434724,0,11,3,14
2,d74fe3cfac9ee87356082a3170a7c0f5,3.3632785069424176,0,6,6,12
2,15147f796faa0fe2d35c74bd4ab63a00,3.564878006090891,0,7,5,12
2,53d23993c0d943d30165da79a40f3c68,3.518566775952325,0,10,4,14
2,aa065efc081685e31d98b22afd462b4d,3.5991888524431666,0,11,5,16
2,932828193591c7620a222780a25e3ef8,3.4233037077431994,0,10,4,14
2,ffacb97bf0f06cb18d787ee4569eb01d,2.768839109873063,0,4,11,15
2,2a3bfdc00a99050d9640c74e77612deb,2.2459822551318096,0,1,11,12
2,8c40248339179fa31b9c7a2aacc137e2,2.9278204672428534,0,14,3,17
2,8e2911beae1c1db3fa0aedb51076ddb4,1.8618784783243907,0,9,4,13
2,c83850b3f0ef71595f4503c50caafec5,1.8737691305340236,0,11,5,16
2,f0f9681ddda482cb2a7f7f9fa38a8ef7,3.3469928244202785,0,6,11,17
2,0b89f5ede5808e638ec7c0e8f19b83a1,3.7494295690889157,0,3,66,69
2,1f010e6a4d04f8ec0e0fe61c74d37d9e,2.7203211374407346,0,1,19,20
2,56672dd427412084fb4e0d7f591ce5e0,2.2268299782095897,0,0,15,15
2,015073c98ca7e47a332ce7a5f2d327b8,2.3897935961670473,0,0,17,17
2,3d6c778e31ff6c3be8c248e1f0e67479,1.9629084325219168,0,1,12,13
2,0197771a9542d322a0e786c00c6906e1,3.92354737334831,0,0,12,12
2,2abe087fa45d2300fadcccbc42580018,2.068961560200313,0,0,15,15
2,714946fc18c6e44fd3c10af1ca646a1b,2.3870684167399565,0,0,21,21
2,cd21ac2d2d799750c978fdb933ef66f5,2.2839661103933535,0,2,20,22
2,d76e4966e8c1f44b2efbad7d73ccc36c,3.1187039165985935,0,1,44,45
2,d11443d9c19ca9ee995ca16987503eb6,2.0886471746818915,0,2,17,19
2,fa44d839a1c42646468e5ee8fe74d0dd,3.0775582575871976,0,1,43,44
2,f757ae86fb63d142519718e5679564e0,1.6091085849669566,0,7,7,14
2,25b9234e5f59285da435d8e41cbdbfa3,2.9048313568827675,0,3,38,41
2,43e654f7aa5cd7d08b479fe133989090,2.9640986086204917,0,1,44,45
2,ff4db113087e18d08ee5148ac82c84e6,2.8508392542897516,0,2,38,40
2,43d9b17faaa222331e7c2851aa754939,1.944044983872103,0,0,20,20
2,ea2c60d8232e4357331ca189d21e5c7b,1.4199367832962129,0,3,10,13
2,eea33645d36acb54db1eea80c160932b,3.388944369408307,0,2,49,51
2,e2867c44406414a0e2b7a092c90375ff,2.498588919302616,0,2,29,31
2,8772d6c02222cfeab9d4eac6c6f2e388,3.095804853562834,0,0,45,45
2,b5e814a9d8f24dac576aa5caefeb5ad8,1.6836804222893307,0,4,9,13
2,479a97f43fafefdbd7c01d888119082c,1.6843388852346617,0,6,14,20
2,00510419f7efbecd19a0954fdcb0f893,1.9313558538614888,0,10,5,15
2,b18da3cbc725ca038e39588783bdd6aa,3.4511283115343763,0,7,13,20
2,714a2460be3b2431b8f3263b7860eabf,3.3827991442654675,0,3,59,62
2,83507ceeb761388cf4bb2f2aca57ed80,3.672264744397893,0,9,12,21
2,9ee23840bcce8cb15a7b21591365a852,2.2249873221317342,0,1,12,13
2,dc006c93e8a2de7023fae7f43bc645c2,2.8573937007853214,0,0,15,15
2,50fad0eca5ba396331c1f2055b2a9cf0,2.7757046838317234,0,0,14,14
2,c5078761eb42561c0619f7c659dcd028,2.5001512615412875,0,0,17,17
2,7cf48d47dbcf805188ab4baae2884bdc,2.5208540770548864,0,0,25,25
2,4f9037078ecc6526712552ebc30a13cd,2.8478783165268786,0,1,41,42
2,6f0761804478861ba8c67050176c6514,2.45136515817131,0,2,27,29
2,68505005ddc5a1988fcdb89379cd51b4,1.6458026336886251,0,8,6,14
2,90a51f9f49723e669f574fba511bfcfa,2.9257948275157366,0,3,43,46
2,258f7c18d89a33826046526188e1e3ab,3.1503940684941902,0,0,42,42
2,ef1ea0452bc89c1b88c1c6e9d80f9db3,2.762722986958669,0,0,38,38
2,674d3e134758969a4141c2035e75b290,3.20199641719845,0,3,50,53
2,1165ecc23b5643c08f4fff744f0ca0da,2.661671568663006,0,2,33,35
2,4319a8f9e92652906acd37074f464d86,2.839872470951385,0,3,40,43
2,6f30a597d05f54b7b962b2ed5ee14f05,2.9145556032229045,0,3,44,47
2,21b4f6bba1b07aea9e7589709127b438,2.8029522752610263,0,3,38,41
2,fac542236a4d161329bb65f526ef83b6,3.9233198722876272,0,9,18,27
2,1b5c93f4fb93d8feb38e3607259ebede,2.9162617205234063,0,1,40,41
2,78f4567167f389f4f844acff5953415e,1.5811074546330208,0,8,7,15
2,1602f5de6088b8005caebf53b260af4f,1.4237781041915387,0,5,8,13
2,35033613ee8d1493134f6f10ce192672,1.9000950693949497,0,7,6,13
3,fa3a1478c6039480ae1a7814430c159c,4.515164135426921,0,0,12,12
3,6148e9653a42d41fff9ce78e8f6a3289,5.440864724308889,0,1,11,12
3,754bd95e95e02773c671d7f6c5b25e12,2.824751984965589,0,2,28,30
3,3a39b2d09ca195ba9ff3fd988e1f3a28,1.0863020351737662,0,3,9,12
3,d34a1fac08b32224074a126af81d77c1,1.9056109033609008,0,5,7,12
3,d59158e501c41cc26e1dd96dcb07ee95,2.8429251187485827,0,5,8,13
3,aca6922680ee3960bbc6672d5f3e2f0a,3.317186554036632,0,9,3,12
3,baaea3a63b46b80f53047af79ebab5fd,1.3768449539809196,0,7,5,12
3,35c56a236f02f94fca3b45111fc06991,1.3994915790160225,0,2,11,13
3,14d79ecd4dac900fde0d3f2f5988d5f0,1.0701975682006617,0,4,9,13
3,4add4a55dfc0c2eaf6c4cfd0708807ae,2.6081387026833895,0,5,14,19
3,ddf8d282103985ce01bcce4ef34d1374,1.0186724556619062,0,4,8,12
3,cdd841040ec78d2dd4f0e1c50d8b2779,2.3002699033094407,0,9,10,19
3,7e568ad57d2e31e5d4610455248d60df,1.2567331683195362,0,3,21,24
3,278f099a124c3fe58b80693050f2d440,4.101225560002409,0,13,11,24
3,d3db586ac9107b409386f6b230926e51,3.605929003697708,0,5,54,59
3,f6839536d99d5c8e5c8b41899ef707c4,5.1235911373537615,0,3,116,119
3,409da780d2e7b1f0ff9cba39e4f0f8ea,2.496133529992332,0,5,13,18
3,7a75c2b6a9edddbe6b3e82945847e7ce,3.4221853780349543,0,10,26,36
3,1e311e6c92efad71beb630e1375d5309,4.637793891805947,0,1,52,53
3,c245071584e61782389bfef843d1282a,2.5382281569482292,0,0,18,18
3,462c1a790d46c926640588d81526e960,3.2140044523560225,0,1,18,19
3,e30563c3d5957cdb8299c416396ee0ef,2.805186230598786,0,0,27,27
3,2e8fe5e9ede0bf8793f1cf08884eeeea,2.4479488936893814,0,0,15,15
3,2e349fde08e156f71123d96760a917ef,2.2442342114770795,0,0,13,13
3,f32d4b6c892f8ef126afd8ab72a51dde,2.581977351261761,0,0,22,22
3,6b24ebd9be1fc0df375bc36bb9f5c91b,2.601013472899952,0,0,21,21
3,be2b427825ace027ea331e714c5d282e,2.862030007606185,0,1,29,30
3,7c84e589c14b19f99c47b342addd9d69,2.3163040859428463,0,0,16,16
3,31eaf9e700fab2d8d810f1e1ae90011a,2.4979306682809326,0,0,21,21
3,582de4cd894eacc5236cde5814c86353,2.809992635554664,0,0,29,29
3,06a3ca05857b57c6479e4d2a09c174ea,2.9563768244612234,0,2,31,33
3,c3267f9832555b314f97b34bed62497e,2.6857855986634087,0,1,25,26
3,9d26fea2d915a9a2d4f09822fe26bd8c,3.0517528713018427,0,2,39,41
3,ff7a541ac6a411bc965cf024d07c3020,3.6260263629831786,0,1,59,60
3,c8aefbe6e685c66a8cdb12f6a7bd11d4,3.069225836028678,0,1,34,35
3,d965abd2dc115d7ae4a2d576b6b3a6ad,3.475040542554444,0,1,52,53
3,317239aec95de7b817b80ff20990e7af,3.2159473212366256,0,2,41,43
3,1bfcf75d28eae809cae7d22c7e3975cb,3.078361648369906,0,2,37,39
3,b877e1b7da14be1d2c966fdf383d8017,3.042853253244239,0,1,40,41
3,5a87e3178ffb2e6245cd80c7c3253f19,3.7619714956120642,0,2,54,56
3,3444bd5cde0906e68478e8417f5445f4,0.7329334034063627,0,1,11,12
3,9ca31cb3e8ac597f0c3820ae9ae8bbe0,3.644499235481005,0,2,57,59
3,356ba014b57aafec6bdd296570c23bc4,1.9200516481744903,0,3,12,15
3,10c8371a080f673a228f3cf3bb184723,1.891456594838775,0,8,9,17
3,e329e70c5b2d61b11dc5f3f0830c77d1,4.176812342951734,0,3,74,77
3,8dff6c322418785bcab1fc0aab90c0c4,4.772318695868769,0,2,97,99
3,a658af554a576b9d9242bde06644c82f,4.532751089757725,0,1,85,86
3,1345db1dcf9efe56774ec9cf5b54749a,2.944965642863051,0,8,16,24
3,18956c355b70f121f9f057befaa47524,5.482345415783876,0,2,134,136
3,633617d7e27bb227f7a9abe3a944fd81,2.702467321510681,0,9,15,24
3,828504008a412992f75355edb334e1f9,3.104302503779714,0,8,19,27
3,46a370f49fc229c68df469ee6ef2d686,2.567883630595037,0,0,16,16
3,12f7e2abc944dd5afb6953af15875dca,2.724123708084374,0,0,15,15
3,9e96af22c071abd0ac8f87d630b9b7a7,2.3762808258097907,0,1,14,15
3,bf7ba77aee5b2a12a015a444831d7434,3.086723703095524,0,1,18,19
3,dbb1c2ce1eb7c20fd75500197c921f35,4.448764972614424,0,1,11,12
3,0e3a3d31dd96359b19de55c19c468b77,2.511506664837661,0,0,18,18
3,e631b0c2dfbffd0be8fc48a5089bfdf3,2.93451239132067,0,0,13,13
3,19c7b57e489f2f054a5f48106c5634aa,2.307526546880429,0,0,12,12
3,1a9a9d627107fa14b8a85d171d0ae206,3.118865606857441,0,0,13,13
3,1422cdb647970876ca301be740ea933c,2.864037961743893,0,1,19,20
3,e2fffffba4f0ece0cac06e065c4c1249,2.356780099057831,0,0,13,13
3,472c1abc33e03924f09d2f624d092366,2.5243839081814357,0,2,13,15
3,0b089dd6d3e01ee64f96806ae13254fa,4.337373818446429,0,1,12,13
3,7b840a0cc0032d571b9e7382122809e8,2.7461827710271214,0,1,17,18
3,fb84dcd5b643d14c27c6f0b5b9969816,3.522687391519197,0,1,46,47
3,738e3670598c66f79c0a724661e5e239,3.7024231731180968,0,1,50,51
3,f76b297e656b97c25b9e0c7889089ab8,3.032306891807494,0,2,36,38
3,d3edfd2f465e25c726feefe121e65a86,2.6071937338475157,0,0,24,24
3,f900151029d6b46e1044d90497c5fdea,4.2744393191147045,0,2,70,72
3,9bc8d02fc58ded3d8ae65c823834abe4,2.5962608804795244,0,0,25,25
3,772b514cf91492ad039950af1c88d15f,3.3775578043015124,0,1,46,47
3,767c42e245a7ff3677c9a7439c56d1bb,3.3385623903290926,0,2,42,44
3,1df86de1f109369d49710acd17bda4c7,3.503758619700353,0,1,47,48
3,2b91296577ba9f770e07ba3bb050844d,3.529115996904088,0,1,55,56
3,71122f8ea7aebd7ad52802511b3ee643,3.588667877300425,0,1,46,47
3,9aa13903b4eb188ec327b825c1201517,3.9021047418946093,0,2,57,59
3,101bfd3b1928262634520f6ac3061f4c,2.876801063287186,0,1,37,38
3,93cc6a1bb140d0154e6f994f627fa96e,2.6191667467303725,0,1,23,24
3,77bd19b9cf5e0a59d68b87166fc9c828,3.1704664285986226,0,1,36,37
3,b7591ab0389482c82057dbbf6d3a50e9,0.7339091846791616,0,2,10,12
