TimeStep,Sid,Quality,Illicit,Licit,Unknown,size
1,cf66311b32a9e6a1b5d2ade6a30017bd,3.86232719,0,27,2,29
1,638fb8e5a0136114fd55034b363c1a90,1.840159924,0,5,7,12
1,346931391532ad3a9a698684ef01d03f,1.532825216,0,14,9,23
1,ee5636080dc39ab880fd4ff714115612,0.728633385,0,7,14,21
1,3d4ef29c08a03e0c19e2ca4164c0f1bc,1.157214206,0,5,10,15
1,e635bd3dc2418dff9603b698af5e0f07,1.602217,0,3,9,12
1,72572b4c20c399e50155fb6ebd2690e6,0.909960707,0,2,19,21
1,3814f4f0490bfe775caa68569e083aa1,1.571395702,0,9,5,14
1,4991439044d1e8826009e42971094cd9,6.99575454,0,252,47,299
1,390a59a0a571d8fab1896ac78131c0ff,1.607243426,0,4,8,12
1,71fa6ae9f5cf3b9b62cc9abd18effe68,2.269858299,0,6,14,20
1,54b01e6b83d82e78444e55cf1b3b59b8,1.484861264,0,5,10,15
1,7f248718f7eb1bf98e028334a799b5dd,1.720699363,0,6,13,19
1,f49266402b421131a1064726beecb640,0.441333813,0,8,4,12
1,4bba95c7982cac6a5a1f4e5a53c802b1,0.330905473,0,1,12,13
1,7a4ec5cb8d69ee7944e1bdb599445fcd,1.59402603,0,6,11,17
1,9d1de8e6c7be85fa99a729d3b7fd3395,1.546074358,0,9,11,20
1,8efa182a2206a171c61a8228976ab667,1.069619792,0,3,10,13
1,da30f6b5027de975adb78c9c2bb3ca42,1.349185717,0,24,1,25
1,a86f10c47653cd8e6af191df4895d58d,0.795709193,0,6,11,17
1,562d0e0368e4ee70c3a318dd7065afe8,0.643763925,0,6,16,22
1,23f104402e0d8326315b6016be962369,1.506794206,0,3,16,19
1,8147a1bf3799b87804a8893e2138f41f,0.914964767,0,4,15,19
1,d8aaf751ef3205f28d41660b9c961db7,1.279597455,0,29,0,29
1,fa2a4b5fd7eed9cefcc08bfc8c467845,1.31506189,0,36,1,37
1,ff4a001adf822db6d8529a0f090f11c0,1.253571227,0,9,9,18
1,04edd60f6fcd59b4208ce29eac8e7a50,0.865844492,0,2,15,17
1,b9d349d6a94d19f46fd669358d67ca6e,0.969268845,0,12,1,13
1,2d2f9286cc6575b0abb1df1f1f188861,0.912497758,0,2,20,22
1,ac8ff264e17fe528609ba00e054b0fda,0.81751109,0,1,12,13
1,9d02082bbb72bd33c98092d968fae394,0.848845942,0,1,15,16
1,db66711bc983aad0151067bee2cf2739,0.886995713,0,12,1,13
1,4a8b39c976f519bcb256fb394096e8e6,1.705383913,0,10,15,25
1,b167fe9b02f52db847c10350d2f0f6b2,0.8293477,0,4,12,16
1,0da0f6532e9780665d929c9daf8d2fa2,1.629538196,0,5,12,17
1,0cbe38d70f674313a0465213f667ce4d,0.959116931,0,23,1,24
1,0d1d4870ae7df980a2e098321f9c9a6c,1.115985316,0,23,1,24
1,90c43687c6bda86d098f7b7d2ff6b38c,1.209920254,0,6,14,20
1,3adaefcb64bc4e657a2d3114c19bfb13,1.184478046,0,30,2,32
1,7d0193b4da5e8422b0dfc28f851fedd8,3.296345855,0,13,16,29
1,0f49de38643b8ed4ecd9f05cff996a43,1.778612485,0,7,8,15
1,95f16a7cec4701de8f3497600c0077c3,0.979392757,0,2,23,25
1,9b83506c1412f940d7a21f719b6bcd14,1.591134344,0,7,5,12
1,9e73bc20d0473a3299d9e06be8033fd4,1.22433973,0,25,0,25
1,cba1617df71db307ef6949ab80c90b5b,1.250672838,0,8,28,36
1,d89aa18fa636ebbd399412cdd6e62978,1.01604626,0,19,1,20
1,46f3445e400423665cc1d02750a40aba,2.974054118,0,9,7,16
1,846468afa9674031b0a119d2170cf067,3.483289457,0,14,18,32
2,7816ce06408a8eed22f6d968471d1b98,1.934468642,0,11,3,14
2,d74fe3cfac9ee87356082a3170a7c0f5,1.984563689,0,6,6,12
2,15147f796faa0fe2d35c74bd4ab63a00,2.186163188,0,7,5,12
2,53d23993c0d943d30165da79a40f3c68,2.069886433,0,10,4,14
2,aa065efc081685e31d98b22afd462b4d,2.125112367,0,11,5,16
2,932828193591c7620a222780a25e3ef8,1.974623364,0,10,4,14
2,ffacb97bf0f06cb18d787ee4569eb01d,1.294762624,0,4,11,15
2,2a3bfdc00a99050d9640c74e77612deb,0.886696381,0,1,11,12
2,ae909b18ea6af2ff0ec18551f3f7ba78,1.346104453,0,14,4,18
2,8aedd5f7a0d0518286d95459a5aac9ec,0.859533861,0,4,10,14
2,746a458e696089508d1ecd0b7af393b2,0.390092725,0,7,5,12
2,e930bc99b9c6fa9e630be21a58d83ec8,0.646753497,0,9,5,14
2,652f4940819c3f3a8ed18cab8d60f039,1.938607819,0,8,12,20
2,9ebf7714ecc9fdf133e1db2425603fae,0.965039353,0,1,57,58
2,c120bb66de17fdd0eea5ef14820df611,0.095042492,0,8,10,18
2,1cf870d7026630ecb3719167c0d44b31,0.981030744,0,0,12,12
2,9ee23840bcce8cb15a7b21591365a852,0.878091472,0,1,12,13
2,3d6c778e31ff6c3be8c248e1f0e67479,0.53884956,0,1,12,13
2,5755879b7ee9d0481b9b64d5a49b57ba,0.677332099,0,0,33,33
2,c6c588456c70d56779c735bc50bf3fdc,0.692026127,0,0,24,24
2,c22b82b079b0bc2693ad2e49a9bc8ebc,0.687770772,0,0,21,21
2,d182bd08af78435e60d11185a985de8d,0.699839561,0,0,29,29
2,cd88b38a35a7ef039c2a4ab6f1a5b5f4,0.843207162,0,0,26,26
2,b9988b149b8d2fa0c2d604978ae478f3,0.723677312,0,1,32,33
2,f0c95ac0472f0f738ebab82a2d078964,0.934230243,0,1,12,13
2,c24b79743c3e1dc191995f44cea646ab,0.636861485,0,2,19,21
2,e530518b607f78b657cb6aebbf3073aa,0.870413027,0,2,45,47
2,e4c2334577934ed4923924615bf843f3,0.508514378,0,10,6,16
2,92f58c897524b90d4c787cc74ea6c4fa,1.673501512,0,5,10,15
2,3a1b9333bd3d4428ca87cf057898f90c,0.593131046,0,0,30,30
2,08f3ec89297ca41c4bb494642edd631d,0.896585241,0,2,47,49
2,c1a1abb03c429b7e92a4ef3661ae166d,0.843060698,0,1,55,56
2,5edd92bfd3c190f73e2729647e401667,0.905844688,0,1,48,49
2,a602df11a854f90308389ab79c780249,0.695137535,0,2,47,49
2,c6a9e8850cdf74376fc7a9f6238b6fed,0.78466121,0,1,59,60
2,da59a48347b46d0a1f8942fd8cb6fd9f,0.827933814,0,2,47,49
2,138a9fdb16e1e3ae773de53c2c56b686,0.573458036,0,3,36,39
2,bef04d408fec63dcbc6fde5aac548218,0.674268346,0,0,12,12
2,265a9aebe42a30dfbd3790fac8618475,0.867544104,0,0,18,18
2,015073c98ca7e47a332ce7a5f2d327b8,1.056460263,0,0,17,17
2,469d909ae199c130e974b8d425f0635a,0.833202781,0,1,30,31
2,f4dd0df920a84e6f153c8cf4e563c6ba,0.768177974,0,1,16,17
2,a6e8f00fbb1d1449ed00cea87f595b57,0.887978044,0,0,30,30
2,359145a83d6929e42efc4cd4f5b1dc53,0.707609352,0,0,38,38
2,bd03e4a9261125d4b025ce0b6cd0db5c,0.764295271,0,3,41,44
2,5d864ba74e88892ebfe8efc8ef756559,0.690549871,0,2,28,30
2,fac542236a4d161329bb65f526ef83b6,2.13199428,0,9,18,27
3,fa3a1478c6039480ae1a7814430c159c,1.515164135,0,0,12,12
3,6148e9653a42d41fff9ce78e8f6a3289,2.440864724,0,1,11,12
3,497b29eee9ffc106729d0814c27cbd65,1.092010843,2,0,11,13
3,7bb78b049f436c3b9541a4ddaf4f4881,0.867006068,0,2,22,24
3,d59158e501c41cc26e1dd96dcb07ee95,1.464210301,0,5,8,13
3,aca6922680ee3960bbc6672d5f3e2f0a,1.973692359,0,9,3,12
3,7e5641447a64a01288458d5913dffbfc,0.892392844,0,7,5,12
3,012e4d5feac4a86bd58329cb3966f149,1.149465373,0,0,85,85
3,ddf8d282103985ce01bcce4ef34d1374,-0.360042362,0,4,8,12
3,74c318129b8410d21975842812d73a40,-0.37645234,0,4,8,12
3,fa240336736174b0836174afaaacbd1d,1.130479938,0,6,57,63
3,5b9624061ccc21d53e202f0eb2a512ad,0.601662501,0,3,12,15
3,409da780d2e7b1f0ff9cba39e4f0f8ea,0.943363014,0,5,13,18
3,9240081acfaa08d33bf26c89f94904b9,1.359016414,0,9,26,35
3,c5411da2d8bb3915633d3ee89d467cce,1.064637602,0,5,19,24
3,88b5e05f51b95c71a8ced981041c378c,1.401841603,0,10,26,36
3,bc3e7a6aabaf3cadbfadb6c67ea349bd,1.02655341,0,0,17,17
3,c245071584e61782389bfef843d1282a,1.038228157,0,0,18,18
3,14e77f135d0cfaf622bb523bb76f93ba,1.047050347,0,0,17,17
3,93809456a92e5d99a05bdbd54086a7af,1.257532743,0,1,23,24
3,45189b199bc0eb96fee434a18d23c5d6,1.115671512,0,0,18,18
3,462c1a790d46c926640588d81526e960,1.42267886,0,1,18,19
3,2e349fde08e156f71123d96760a917ef,0.843669207,0,0,13,13
3,6bddfb089ce71f4a1949446336a68eb3,0.86328594,0,0,13,13
3,e8e42ac1a25f59bba8a2de7b24eca8a8,1.072204808,0,0,19,19
3,a0d66f9810de3517c458c98e0464f26d,1.041407377,0,0,21,21
3,be2b427825ace027ea331e714c5d282e,0.993071053,0,1,29,30
3,ac788cdbc980aba152c92983b3f081c0,0.97200723,0,2,44,46
